scenario,early,late,mean_pred,accuracy
ssp119,2015,2025,0.5360468,0.5
ssp119,2025,2035,0.56220543,0.5
ssp119,2035,2045,0.51470333,0.5
ssp119,2045,2055,0.5854951,0.5
ssp119,2055,2065,0.50848526,0.5
ssp119,2065,2075,0.62339216,0.5
ssp119,2075,2085,0.6370037,0.5
ssp126,2015,2025,0.565349,0.5
ssp126,2025,2035,0.45260662,0.5
ssp126,2035,2045,0.52764845,0.5
ssp126,2045,2055,0.50510514,0.5
ssp126,2055,2065,0.58230436,0.5
ssp126,2065,2075,0.5208345,0.5
ssp126,2075,2085,0.45634526,0.5
