early_yr,late_yr,scenario,mean_pred,accuracy,test_indices
2015,2025,ssp119,0.5574195,0.88,"396, 90, 499, 57, 472, 29, 226, 440, 378, 364, 131, 366, 319, 275, 190, 449, 214, 225, 370, 363, 85, 44, 309, 136, 487, 102, 282, 380, 279, 402, 229, 145, 287, 37, 369, 373, 205, 247, 236, 221, 285, 254, 155, 486, 310, 408, 328, 117, 322, 388"
2015,2035,ssp119,0.7558583,0.78,"375, 380, 91, 60, 343, 143, 414, 203, 144, 112, 104, 58, 34, 166, 35, 449, 458, 169, 383, 486, 497, 179, 393, 330, 340, 95, 28, 453, 37, 447, 369, 314, 64, 464, 164, 50, 262, 349, 318, 55, 21, 462, 187, 147, 492, 12, 221, 229, 18, 321"
2015,2045,ssp119,0.41095653,0.92,"332, 212, 196, 314, 161, 457, 400, 265, 435, 121, 405, 418, 88, 395, 195, 227, 390, 27, 135, 404, 394, 207, 424, 99, 140, 391, 48, 197, 276, 166, 43, 384, 78, 416, 75, 120, 124, 341, 176, 149, 350, 254, 295, 378, 411, 374, 191, 437, 54, 419"
2015,2055,ssp119,0.48406705,0.98,"42, 335, 57, 84, 206, 108, 442, 173, 428, 461, 47, 53, 488, 376, 448, 150, 130, 285, 498, 294, 470, 466, 250, 482, 151, 352, 28, 100, 205, 27, 458, 310, 34, 69, 180, 224, 12, 302, 403, 149, 456, 388, 449, 399, 397, 220, 336, 32, 412, 88"
2015,2065,ssp119,0.46244892,0.96,"374, 61, 19, 221, 412, 122, 120, 435, 255, 245, 254, 388, 36, 204, 215, 450, 167, 136, 261, 123, 344, 156, 71, 372, 84, 425, 430, 459, 235, 279, 446, 283, 188, 58, 438, 287, 8, 157, 491, 480, 332, 226, 238, 198, 342, 10, 465, 368, 455, 114"
2015,2075,ssp119,0.5055073,0.94,"335, 361, 262, 450, 52, 312, 480, 101, 388, 148, 98, 300, 461, 268, 223, 323, 449, 7, 256, 446, 376, 109, 204, 436, 488, 290, 113, 147, 50, 155, 135, 69, 399, 247, 246, 264, 273, 293, 81, 24, 470, 225, 208, 36, 231, 411, 390, 454, 254, 146"
2015,2085,ssp119,0.50598735,0.96,"320, 182, 223, 173, 398, 486, 221, 215, 356, 498, 400, 114, 224, 34, 359, 267, 429, 4, 48, 66, 410, 217, 237, 153, 432, 353, 219, 87, 317, 405, 378, 497, 445, 372, 7, 85, 253, 116, 187, 203, 483, 17, 329, 293, 161, 120, 168, 496, 169, 76"
2025,2035,ssp119,0.66572106,0.68,"89, 135, 36, 382, 466, 76, 457, 33, 318, 8, 345, 386, 424, 351, 408, 145, 407, 489, 426, 330, 181, 398, 108, 347, 481, 369, 338, 267, 1, 496, 157, 101, 256, 233, 216, 397, 353, 470, 446, 211, 43, 253, 383, 344, 109, 75, 379, 483, 403, 261"
2025,2045,ssp119,0.45168304,0.84,"170, 271, 261, 413, 410, 409, 0, 124, 490, 302, 318, 472, 414, 308, 465, 12, 120, 314, 350, 497, 213, 279, 333, 444, 186, 390, 145, 44, 89, 140, 244, 285, 96, 56, 416, 184, 451, 161, 478, 70, 245, 117, 368, 357, 52, 146, 1, 337, 476, 456"
2025,2055,ssp119,0.5101745,0.86,"107, 307, 163, 480, 404, 97, 154, 138, 262, 65, 352, 370, 228, 16, 339, 205, 280, 126, 394, 43, 399, 207, 356, 35, 486, 85, 445, 247, 112, 465, 42, 118, 297, 310, 274, 395, 279, 18, 39, 201, 426, 172, 152, 13, 372, 472, 308, 396, 491, 433"
