scenario,early_yr,late_yr,mean_pred,accuracy
ssp119,2015,2025,0.50465506,0.86
ssp119,2015,2035,0.60938174,0.5
ssp119,2015,2045,0.60063004,0.5
ssp119,2015,2055,0.51006526,0.96
ssp119,2015,2065,0.51860195,0.98
ssp119,2015,2075,0.48759052,0.94
ssp119,2015,2085,0.55220747,0.3
ssp119,2025,2035,0.43689954,0.64
ssp119,2025,2045,0.4414195,0.82
ssp119,2025,2055,0.50754887,0.96
ssp119,2025,2065,0.41248646,0.7
ssp119,2025,2075,0.50149167,0.7
ssp119,2025,2085,0.652114,0.54
ssp119,2035,2045,0.5166961,0.52
ssp119,2035,2055,0.63891053,0.5
ssp119,2035,2065,0.46390542,0.92
ssp119,2035,2075,0.5903319,0.5
ssp119,2035,2085,0.4927087,0.5
ssp119,2045,2055,0.48294902,0.78
ssp119,2045,2065,0.44683564,0.72
ssp119,2045,2075,0.56544685,0.84
ssp119,2045,2085,0.4233751,0.86
ssp119,2055,2065,0.48540062,0.56
ssp119,2055,2075,0.54342234,0.64
ssp119,2055,2085,0.47340068,0.84
ssp119,2065,2075,0.5061502,0.62
ssp119,2065,2085,0.47033024,0.78
ssp119,2075,2085,0.51216704,0.5
ssp126,2015,2025,0.48198482,0.76
ssp126,2015,2035,0.5098975,0.88
ssp126,2015,2045,0.43698558,0.96
ssp126,2015,2055,0.5147589,0.98
ssp126,2015,2065,0.4871529,0.98
ssp126,2015,2075,0.49973905,1.0
ssp126,2015,2085,0.5004484,1.0
ssp126,2025,2035,0.47915414,0.82
ssp126,2025,2045,0.61267006,0.88
ssp126,2025,2055,0.45412388,0.82
ssp126,2025,2065,0.48627633,0.98
ssp126,2025,2075,0.52746373,0.96
ssp126,2025,2085,0.59449697,0.84
ssp126,2035,2045,0.4838433,0.78
ssp126,2035,2055,0.575609,0.86
ssp126,2035,2065,0.5547152,0.88
ssp126,2035,2075,0.39182544,0.76
ssp126,2035,2085,0.45739898,0.94
ssp126,2045,2055,0.49995854,0.64
ssp126,2045,2065,0.62185824,0.5
ssp126,2045,2075,0.5129533,0.84
ssp126,2045,2085,0.42537674,0.86
ssp126,2055,2065,0.5352106,0.64
ssp126,2055,2075,0.49790633,0.7
ssp126,2055,2085,0.4975087,0.86
ssp126,2065,2075,0.6098061,0.62
ssp126,2065,2085,0.4090654,0.74
ssp126,2075,2085,0.5600325,0.6
