scenario,early_yr,late_yr,mean_pred,accuracy
ssp119,2015,2025,0.52834576,0.42
ssp119,2015,2035,0.4929807,0.92
ssp119,2015,2045,0.52784246,0.88
ssp119,2015,2055,0.50954235,0.94
ssp119,2015,2065,0.46279994,0.96
ssp119,2015,2075,0.59670746,0.74
ssp119,2015,2085,0.41131306,0.88
ssp119,2025,2035,0.49634725,0.72
ssp119,2025,2045,0.43064967,0.7
ssp119,2025,2055,0.60889477,0.88
ssp119,2025,2065,0.4928393,0.98
ssp119,2025,2075,0.6275758,0.5
ssp119,2025,2085,0.5244084,0.88
ssp119,2035,2045,0.4998155,0.54
ssp119,2035,2055,0.48399743,0.54
ssp119,2035,2065,0.4715065,0.68
ssp119,2035,2075,0.50232583,0.78
ssp119,2035,2085,0.51386386,0.86
ssp119,2045,2055,0.46271506,0.54
ssp119,2045,2065,0.52139497,0.68
ssp119,2045,2075,0.5644952,0.5
ssp119,2045,2085,0.5285963,0.76
ssp119,2055,2065,0.49999702,0.52
ssp119,2055,2075,0.4927479,0.5
ssp119,2055,2085,0.5700434,0.52
ssp119,2065,2075,0.5058427,0.62
ssp119,2065,2085,0.4513097,0.62
ssp119,2075,2085,0.54842347,0.58
ssp126,2015,2025,0.46368596,0.74
ssp126,2015,2035,0.48852298,1.0
ssp126,2015,2045,0.50010943,1.0
ssp126,2015,2055,0.4959303,1.0
ssp126,2015,2065,0.74305075,0.5
ssp126,2015,2075,0.47240028,0.5
ssp126,2015,2085,0.44474107,0.94
ssp126,2025,2035,0.44764993,0.8
ssp126,2025,2045,0.54037654,0.88
ssp126,2025,2055,0.4988854,0.96
ssp119,2015,2025,0.5891962,0.8
ssp126,2025,2065,0.46950874,0.88
ssp126,2025,2075,0.5713897,0.8
ssp126,2025,2085,0.42388162,0.78
ssp126,2035,2045,0.34750184,0.76
ssp126,2035,2055,0.40049607,0.8
ssp126,2035,2065,0.53477025,0.8
ssp126,2035,2075,0.50743175,0.96
ssp126,2035,2085,0.48591572,0.66
ssp126,2045,2055,0.51419103,0.82
ssp126,2045,2065,0.5245184,0.8
ssp126,2045,2075,0.5024923,0.86
ssp126,2045,2085,0.5361533,0.96
ssp126,2055,2065,0.5426812,0.52
ssp126,2055,2075,0.53114974,0.76
ssp126,2055,2085,0.5188403,0.82
ssp126,2065,2075,0.50276464,0.46
ssp126,2065,2085,0.54080766,0.5
ssp126,2075,2085,0.5005449,0.54
