scenario,early,late,mean_pred,accuracy
ssp119,2015,2025,0.44725776,0.5
ssp119,2025,2035,0.56932354,0.5
ssp119,2035,2045,0.49035263,0.5
ssp119,2045,2055,0.54351676,0.5
ssp119,2055,2065,0.55906427,0.5
ssp119,2065,2075,0.58507353,0.5
ssp126,2015,2025,0.48518425,0.5
ssp126,2025,2035,0.51571727,0.5
ssp126,2035,2045,0.34529373,0.5
ssp126,2045,2055,0.60226476,0.5
ssp126,2055,2065,0.6073883,0.5
ssp126,2065,2075,0.51239145,0.5
