scenario,early,late,mean_pred,accuracy
ssp119,2025,2065,0.4930145,"[[8.3372733e-03 6.2290226e-08 5.8280921e-01 ... 1.9846236e-06
  7.0732259e-10 1.0000000e+00]
 [8.3372733e-03 6.2290226e-08 5.8280921e-01 ... 1.9846236e-06
  7.0732259e-10 1.0000000e+00]
 [9.9166274e-01 9.9999994e-01 4.1719079e-01 ... 9.9999803e-01
  1.0000000e+00 0.0000000e+00]
 ...
 [8.3372733e-03 6.2290226e-08 5.8280921e-01 ... 1.9846236e-06
  7.0732259e-10 1.0000000e+00]
 [8.3372733e-03 6.2290226e-08 5.8280921e-01 ... 1.9846236e-06
  7.0732259e-10 1.0000000e+00]
 [9.9166274e-01 9.9999994e-01 4.1719079e-01 ... 9.9999803e-01
  1.0000000e+00 0.0000000e+00]]"
ssp119,2025,2075,0.49706402,"[[0.0000000e+00 3.5789609e-02 0.0000000e+00 ... 0.0000000e+00
  1.0000000e+00 1.6689301e-06]
 [1.0000000e+00 9.6421039e-01 1.0000000e+00 ... 1.0000000e+00
  2.2958728e-09 9.9999833e-01]
 [0.0000000e+00 3.5789609e-02 0.0000000e+00 ... 0.0000000e+00
  1.0000000e+00 1.6689301e-06]
 ...
 [0.0000000e+00 3.5789609e-02 0.0000000e+00 ... 0.0000000e+00
  1.0000000e+00 1.6689301e-06]
 [1.0000000e+00 9.6421039e-01 1.0000000e+00 ... 1.0000000e+00
  2.2958728e-09 9.9999833e-01]
 [0.0000000e+00 3.5789609e-02 0.0000000e+00 ... 0.0000000e+00
  1.0000000e+00 1.6689301e-06]]"
ssp119,2025,2085,0.5000893,"[[0.06298101 0.9989517  0.00718957 ... 0.9989057  0.96541995 0.        ]
 [0.937019   0.00104833 0.9928104  ... 0.00109427 0.03458007 1.        ]
 [0.06298101 0.9989517  0.00718957 ... 0.9989057  0.96541995 0.        ]
 ...
 [0.937019   0.00104833 0.9928104  ... 0.00109427 0.03458007 1.        ]
 [0.937019   0.00104833 0.9928104  ... 0.00109427 0.03458007 1.        ]
 [0.06298101 0.9989517  0.00718957 ... 0.9989057  0.96541995 0.        ]]"
ssp119,2035,2045,0.48532844,"[[0.319965   0.5886121  0.5113311  ... 0.6106403  0.49491477 0.3737328 ]
 [0.319965   0.5886121  0.5113311  ... 0.6106403  0.49491477 0.3737328 ]
 [0.680035   0.41138795 0.48866895 ... 0.3893597  0.50508523 0.6262672 ]
 ...
 [0.680035   0.41138795 0.48866895 ... 0.3893597  0.50508523 0.6262672 ]
 [0.680035   0.41138795 0.48866895 ... 0.3893597  0.50508523 0.6262672 ]
 [0.680035   0.41138795 0.48866895 ... 0.3893597  0.50508523 0.6262672 ]]"
ssp119,2035,2055,0.48875308,"[[0.57709455 0.00994557 0.1048158  ... 0.22754514 0.02858612 0.5069866 ]
 [0.57709455 0.00994557 0.1048158  ... 0.22754514 0.02858612 0.5069866 ]
 [0.57709455 0.00994557 0.1048158  ... 0.22754514 0.02858612 0.5069866 ]
 ...
 [0.57709455 0.00994557 0.1048158  ... 0.22754514 0.02858612 0.5069866 ]
 [0.57709455 0.00994557 0.1048158  ... 0.22754514 0.02858612 0.5069866 ]
 [0.57709455 0.00994557 0.1048158  ... 0.22754514 0.02858612 0.5069866 ]]"
ssp119,2035,2065,0.620277,"[[5.5426955e-03 1.8667459e-02 1.0000000e+00 ... 9.9688506e-01
  3.1032443e-02 9.9981964e-01]
 [5.5426955e-03 1.8667459e-02 1.0000000e+00 ... 9.9688506e-01
  3.1032443e-02 9.9981964e-01]
 [9.9445730e-01 9.8133254e-01 2.8483633e-09 ... 3.1149141e-03
  9.6896756e-01 1.8033398e-04]
 ...
 [9.9445730e-01 9.8133254e-01 2.8483633e-09 ... 3.1149141e-03
  9.6896756e-01 1.8033398e-04]
 [9.9445730e-01 9.8133254e-01 2.8483633e-09 ... 3.1149141e-03
  9.6896756e-01 1.8033398e-04]
 [9.9445730e-01 9.8133254e-01 2.8483633e-09 ... 3.1149141e-03
  9.6896756e-01 1.8033398e-04]]"
ssp119,2035,2075,0.42720234,"[[8.0534756e-01 1.5842915e-04 0.0000000e+00 ... 9.9592596e-01
  9.9025011e-01 9.9959946e-01]
 [8.0534756e-01 1.5842915e-04 0.0000000e+00 ... 9.9592596e-01
  9.9025011e-01 9.9959946e-01]
 [8.0534756e-01 1.5842915e-04 0.0000000e+00 ... 9.9592596e-01
  9.9025011e-01 9.9959946e-01]
 ...
 [1.9465247e-01 9.9984157e-01 1.0000000e+00 ... 4.0740287e-03
  9.7499155e-03 4.0057060e-04]
 [1.9465247e-01 9.9984157e-01 1.0000000e+00 ... 4.0740287e-03
  9.7499155e-03 4.0057060e-04]
 [1.9465247e-01 9.9984157e-01 1.0000000e+00 ... 4.0740287e-03
  9.7499155e-03 4.0057060e-04]]"
ssp119,2035,2085,0.50671405,"[[2.4425606e-01 1.7915895e-04 9.8656237e-01 ... 9.9974322e-01
  1.4746793e-03 1.0000000e+00]
 [2.4425606e-01 1.7915895e-04 9.8656237e-01 ... 9.9974322e-01
  1.4746793e-03 1.0000000e+00]
 [7.5574392e-01 9.9982083e-01 1.3437629e-02 ... 2.5677681e-04
  9.9852532e-01 0.0000000e+00]
 ...
 [7.5574392e-01 9.9982083e-01 1.3437629e-02 ... 2.5677681e-04
  9.9852532e-01 0.0000000e+00]
 [2.4425606e-01 1.7915895e-04 9.8656237e-01 ... 9.9974322e-01
  1.4746793e-03 1.0000000e+00]
 [7.5574392e-01 9.9982083e-01 1.3437629e-02 ... 2.5677681e-04
  9.9852532e-01 0.0000000e+00]]"
ssp119,2045,2055,0.4496168,"[[0.11516843 0.07411429 0.6945743  ... 0.7967842  0.25569072 0.02083996]
 [0.11516843 0.07411429 0.6945743  ... 0.7967842  0.25569072 0.02083996]
 [0.88483155 0.9258857  0.3054257  ... 0.20321578 0.7443093  0.97916   ]
 ...
 [0.88483155 0.9258857  0.3054257  ... 0.20321578 0.7443093  0.97916   ]
 [0.11516843 0.07411429 0.6945743  ... 0.7967842  0.25569072 0.02083996]
 [0.11516843 0.07411429 0.6945743  ... 0.7967842  0.25569072 0.02083996]]"
ssp119,2045,2065,0.4502415,"[[0.26854554 0.39975363 0.49994466 ... 0.31786186 0.41915372 0.17037109]
 [0.26854554 0.39975363 0.49994466 ... 0.31786186 0.41915372 0.17037109]
 [0.7314545  0.60024637 0.5000553  ... 0.68213814 0.5808463  0.82962894]
 ...
 [0.7314545  0.60024637 0.5000553  ... 0.68213814 0.5808463  0.82962894]
 [0.7314545  0.60024637 0.5000553  ... 0.68213814 0.5808463  0.82962894]
 [0.26854554 0.39975363 0.49994466 ... 0.31786186 0.41915372 0.17037109]]"
